"id","name","description","hours_estimate","notes","helpers_needed","liveaboard_priority","daysail_priority","unused","cruising_priority","completed","obsolete"
"0","Alcohol Stove","Install Origo Stove","5.00",,"0","1","8","1","1","0","0"
"1","Electrical Panel with Breakers","Rewire electrical panel with breakers instead of fuses.","16.00",,"0","2","2","1","1","0","0"
"2","Sell Spinnakers","Put spinnakers on craigslist or email minnies","4.00",,"0","8","8","4","3","0","0"
"3","Clean the Bilge","Clear all the water and scrub the alge out","2.00",,"0","4","4","4","4","0","0"
"4","Steaming Lamp","Reinstall the steaming lamp on the mast, including running wiring inside the mast","4.00","Going aloft","1","9","4","3","2","0","1"
"5","Anchor Lamp","Inspect anchor lamp when mast comes down","5.00",,"1","3","9","4","3","0","0"
"7","Bolt Down Pulpits and Stanchions","Check and replace missing bolts on pulpits and stanchions","3.00",,"0","5","1","1","1","0","0"
"8","Foresail Deck Back","Design and fabricate a bag to protect the foresail without pulling it off the forestay","12.00",,"0","5","3","3","3","0","0"
"9","Stove Fuel Tank","Buy and install a 5 gallon fuel tank near the stove","4.00","Now have a 5 gallon jerry can for this purpose.","0","2","9","5","2","1","0"
"10","Transmission Cable","Remove existing transmission cable, measure it, order a new one, and install it","8.00","Need to cut out port icebox to access transmission cable","0","2","1","1","1","0","1"
"11","Windows","Fabricate new portlights out of acrylic and install them (7 windows)","24.00","4: 22"" x 8"" = 60"" circ.
1: 18"" x 8"" = 52"" circ
2: 14"" x 8"" = 44"" circ
                  = 380""
____________________
                      380"" circumfrence
Starboard:
Hole: 24.5"" x 8.25""
Hole: 23.5"" x 8.5""
Hole: 14"" x 7""
Hole: 14"" x 7""","0","1","2","2","2","0","0"
"13","Paint Bottom","Sand, prep and paint the hull","16.00","Needs haulout","2","8","3","4","4","0","0"
"14","Eybolts on Cockpit","Install eyebolts so tiller can be lashed for vane steering","2.00",,"0","9","4","1","1","0","0"
"15","Service Winches","Take apart the winches and grease them","4.00",,"0","9","2","2","2","0","1"
"16","V-Berth Hatch","V-Berth hatch is quite leaky and needs to be resealed","4.00",,"0","2","8","5","5","0","0"
"17","Kayak","Fix up the kayak at Josh's, if it's still there, or buy another","8.00",,"0","7","9","5","5","0","1"
"18","Alternator Diode","Install alternator diode so batteries can be hooked up to charge","2.00",,"0","5","5","5","5","0","1"
"19","Shroud Chainplate","Fill voids with epoxy when sealing deck","2.00",,"0","8","4","2","1","0","1"
"20","Stanchion Backplates","Glass in plywood backplates and re-bed all lifeline stanchions.","10.00",,"0","7","3","3","3","0","1"
"21","Lifelines","Replace the old rusted lifelines","4.00","24' each","0","8","3","3","3","0","1"
"22","Choke Cable","Install a new choke cable
","1.00",,"0","8","2","2","2","0","1"
"23","Main Halyard","Buy and install a new halyard that's long enough to be run to the cockpit","3.00",,"0","5","4","3","2","0","1"
"25","Standing Rigging","Measure, buy and install new standing rigging to replace old rod rigging","24.00","Pins are 1/2""
Forestay 41.25'/22.5'
Shrouds 40.25'/20.5'
Aftstay 44.75'","1","8","5","1","1","0","1"
"26","Salon Hatch","Reverse the hatch over the salon so that the boom vang can be installed","3.00",,"0","8","5","3","3","0","1"
"27","Fuel Water Separator","Hook up the fuel-water seperator so the carb doesn't get clogged","2.00",,"0","5","1","1","1","0","1"
"28","Gas Pump Starter Bypass","Install a relay to activate gas pump when starter is cranking","2.00",,"0","8","5","5","5","0","1"
"29","Bow Cleat","Glass in plywood backing plate for bow cleat","3.00",,"0","8","6","2","2","0","0"
